No.	품목	규격	서울	10동	자스민	9연동	곤지암	대관령	평창	재고합계	올해판매량	지난해 판매량	생산량	폐기량	출고예정	분갈이	삽목	출고예정B	기타
1	가물레피시스(유리호프스)	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
2	가물레피시스(유리호프스)	18cm	36	0	0	190	0	0	0	226	2	88	239	0	0				
3	가물레피시스(유리호프스)	24cm	24	0	0	55	0	0	0	79	1	2	71	0	0				
4	가물레피시스(유리호프스)	30cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
5	가물레피시스(유리호프스)	특대	0	0	0	0	0	0	0	0	0	2	0	0	0				
6	골든레몬타임	10cm	0	0	0	0	0	0	0	0	0	1015	0	0	0		1000		
7	골든레몬타임	18cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
8	그레이트멀레인	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
9	금어초	10cm	0	0	0	0	0	0	0	0	0	12	3120	0	0				폐기
10	금어초	18cm	0	0	0	0	0	0	0	0	0	5	1083	0	0				
11	금잔화	10cm	680	0	0	0	0	0	0	680	0	650	1280	0	0				
12	금잔화(포트메리골드)	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
13	금잔화(포트메리골드)	24cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
14	금잔화(포트메리골드)	30cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
15	나스터튬	10cm	80	0	0	0	0	0	0	80	0	4295	5600	0	0				
16	나스터튬	18cm	699	0	0	0	0	0	0	699	1	78	700	0	0				
17	넷틀	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
18	노랑꽃자스민	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
19	노랑꽃자스민	30cm	2	0	0	0	0	0	0	2	0	0	0	0	0				
20	니겔라	10cm	0	0	0	0	0	0	0	0	0	0	260	0	0				
21	니겔라	24cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
22	다이어즈캐모마일	10cm	60	0	0	0	0	0	0	60	0	0	100	0	0				
23	다크오팔바질	10cm	0	0	0	0	0	0	0	0	0	99	360	0	0				
24	딜	10cm	901	0	0	0	0	0	0	901	142	5567	6380	0	0				
25	딜	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
26	램즈이어	10cm	288	0	0	0	0	0	0	288	0	1903	4200	0	0				
27	램즈이어	18cm	463	0	0	0	0	0	0	463	0	268	1035	0	0				
28	러시안세이지	10cm	107	0	0	0	0	0	0	107	3	3365	5420	416	0		2000		
29	러시안세이지	15cm	20	0	0	0	9	0	0	29	0	168	455	0	0				
30	러시안세이지	18cm	908	0	0	0	0	0	0	908	0	392	1300	0	200				
31	레드야로우	10cm	261	0	0	0	0	0	0	261	0	0	620	0	0				
32	레몬그라스	10cm	0	0	0	0	0	0	0	0	0	47	280	0	0				
33	레몬그라스	18cm	9	0	0	0	0	0	0	9	0	118	127	0	0				
34	레몬밤	10cm	940	0	0	0	0	0	0	940	0	2794	5160	0	50				
35	레몬밤	18cm	240	0	0	0	0	0	0	240	0	44	360	0	0				
36	레몬버베나	10cm	0	0	0	646	0	0	0	646	0	260	484	0	0		1000		
37	레몬버베나	18cm	11	0	0	831	0	0	0	842	0	425	1250	0	50				
38	레몬버베나	24cm	13	0	0	90	0	0	0	103	1	151	133	0	0				
39	레몬버베나	30cm	12	0	0	7	0	0	0	19	0	16	31	0	0				
40	레몬유칼리	10cm	100	0	0	0	0	0	0	100	0	134	520	0	0				
41	레몬유칼리	18cm	49	0	0	0	0	0	0	49	1	61	126	0	0				
42	레몬유칼리	24cm	26	0	0	0	0	0	0	26	0	3	26	0	0				
43	레몬유칼리	30cm	6	0	0	0	0	0	0	6	0	0	6	0	5				
44	레몬유칼리	특대	1	0	0	0	0	0	0	1	1	0	1	0	0				
45	레몬제라늄	18cm	14	0	0	382	0	0	0	396	0	183	300	0	0				
46	레몬제라늄	24cm	86	0	0	6	0	0	0	92	0	42	130	0	0				
47	레몬제라늄	30cm	4	0	0	13	0	0	0	17	0	8	24	0	3				
48	레몬타임	10cm	247	0	0	0	0	0	0	247	20	387	800	0	0		300		
49	레몬타임	18cm	125	0	0	0	0	0	0	125	0	10	125	0	0				
50	레이디스맨틀	10cm	0	0	0	0	0	0	0	0	0	45	100	0	0				
51	로먼캐모마일	10cm	937	0	0	0	0	0	0	937	20	714	1676	0	0				
52	로즈마리	10cm	11649	0	0	800	30	0	0	12479	80	15654	22504	0	10050		30000		
53	로즈마리	15cm	0	0	0	0	0	0	0	0	0	159	0	0	0				
54	로즈마리	18cm	573	0	0	0	5750	0	0	6323	29	3073	7562	0	0				
55	로즈마리	24cm	2147	0	0	0	4484	0	0	6631	144	2304	2126	0	0				
56	로즈마리	30cm	20	0	0	0	359	0	0	379	12	284	1000	40	0				
57	로즈마리	특대	4	0	0	0	6	0	0	10	0	0	10	0	0				
58	로즈마리외대	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
59	로즈마리외대	18cm	127	0	0	0	0	0	0	127	0	491	1256	0	0				
60	로즈마리외대	24cm	29	0	0	0	301	0	0	330	14	514	879	100	0				
61	로즈마리외대	30cm	4	0	0	0	0	0	0	4	6	6	60	0	0				
62	로즈제라늄	10cm	0	0	0	0	0	0	0	0	0	23	300	0	0		300		
63	로즈제라늄	15cm	0	0	0	0	0	0	0	0	0	156	156	0	0				
64	로즈제라늄	18cm	36	0	0	71	0	0	0	107	0	429	315	0	0				
65	로즈제라늄	24cm	28	0	0	-1	0	0	0	27	0	17	64	0	0				
66	로즈제라늄	30cm	5	0	0	12	0	0	0	17	0	18	22	0	3				
67	로지 로즈마리	10cm	140	0	0	0	0	0	0	140	0	0	0	0	0				
68	로케트(루꼴라)	10cm	140	0	0	0	0	0	0	140	0	3057	3920	480	0				
69	루	10cm	50	0	0	0	0	0	0	50	0	81	280	0	0				
70	루빈바질	10cm	0	0	0	0	0	0	0	0	0	0	120	0	0				
71	루피너스	10cm	20	0	0	0	0	0	0	20	0	1	190	0	0				
72	리틀잎핑크세이지	10cm	0	0	0	0	0	0	0	0	0	0	1720	0	0		3000		
73	리틀잎핑크세이지	18cm	187	447	0	0	0	0	0	634	0	1009	1741	0	0				
74	리틀잎핑크세이지	24cm	45	257	0	0	0	0	0	302	0	175	112	0	0				
75	리틀잎핑크세이지	30cm	0	34	0	0	0	0	0	34	0	3	0	0	0				
76	마삭줄	18cm	0	0	0	88	0	0	0	88	0	0	0	0	0				
77	마삭줄	24cm	0	0	0	16	0	0	0	16	0	0	0	0	0				
78	마삭줄	30cm	0	0	0	2	0	0	0	2	0	0	0	0	0				
79	마조람	10cm	100	0	0	0	0	0	0	100	0	106	500	0	0				
80	마편초	10cm	280	0	0	0	0	0	0	280	0	20	800	0	0				
81	마편초	18cm	380	0	0	0	0	0	0	380	0	4	384	0	0				
82	메리골드슈퍼보이옐로우	10cm	0	0	0	0	0	0	0	0	0	2057	2580	0	0				소망교도소
83	메리골드슈퍼보이오렌지	10cm	0	0	0	0	0	0	0	0	0	2102	2770	0	0				소망교도소
84	멕시칸세이지	10cm	7	110	0	60	0	0	0	177	0	399	1760	0	0		10000		
85	멕시칸세이지	18cm	48	826	0	20	0	0	0	894	0	1602	2429	0	400				
86	멕시칸세이지	24cm	40	865	0	0	0	0	0	905	0	308	1189	0	800				
87	멕시칸세이지	30cm	-6	40	0	0	0	0	0	34	0	66	40	0	0				
88	멕시칸세이지(흰색)	10cm	20	0	0	0	0	0	0	20	0	43	1080	0	0		10000		
89	멕시칸세이지(흰색)	18cm	24	677	0	58	0	0	0	759	0	763	1275	0	400				
90	멕시칸세이지(흰색)	24cm	6	72	0	0	0	0	0	78	0	125	170	0	0				
91	멕시칸세이지(흰색)	30cm	1	26	0	0	0	0	0	27	0	9	0	0	0				
92	미스틱스파이어블루세이지	10cm	0	0	0	0	0	0	0	0	0	0	2430	0	0		500		
93	미스틱스파이어블루세이지	18cm	49	811	0	522	0	0	0	1382	0	1544	2845	0	400				
94	미스틱스파이어블루세이지	24cm	19	0	0	11	0	0	0	30	0	186	32	0	0				
95	미스틱스파이어블루세이지	30cm	4	0	0	13	0	0	0	17	0	22	24	0	0				
96	밀크시슬	10cm	0	0	0	0	0	0	0	0	0	6	22	0	0				
97	밀크시슬	18cm	12	0	0	0	0	0	0	12	0	1	16	0	0				
98	발레리안	10cm	126	0	0	0	0	0	0	126	0	64	190	0	0				
99	베이(월계수)	18cm	157	0	0	0	0	0	0	157	0	23	0	0	0				
100	베이(월계수)	24cm	312	0	0	0	0	0	0	312	0	4	0	0	0				
101	베이(월계수)	30cm	13	0	0	0	0	0	0	13	0	1	0	0	0				
102	베이(월계수)	특대	6	0	0	0	0	0	0	6	0	0	0	0	0				
103	벨가못	10cm	15	0	0	0	0	0	0	15	0	310	503	0	50				
104	벨가못	18cm	13	0	0	0	0	0	0	13	0	1	84	0	0				
105	병풀	10cm	1630	0	0	0	0	0	0	1630	0	90	2340	0	0				
106	보리지	10cm	90	0	0	0	0	0	0	90	0	46	587	0	0				
107	보리지	18cm	88	0	0	0	0	0	0	88	0	148	192	0	0				
108	보리지	24cm	80	0	0	0	0	0	0	80	0	0	80	0	0				
109	보리지	30cm	10	0	0	0	0	0	0	10	0	0	10	0	0				
110	분홍낮달맞이	10cm	140	0	0	0	0	0	0	140	0	0	140	0	0				
111	비올라	10cm	0	0	0	0	0	0	0	0	0	0	8650	0	0				대관령
112	비올라	15cm	960	0	0	0	0	0	0	960	100	115	100	0	0				
113	산토리나	10cm	0	0	0	210	0	0	0	210	20	295	300	0	0		100		
114	산토리나	18cm	0	0	0	192	0	0	0	192	0	162	225	0	0				
115	산토리나	24cm	48	0	0	12	0	0	0	60	0	9	72	0	0				
116	산토리나	30cm	0	0	0	3	0	0	0	3	0	0	0	0	0				
117	서던우드	10cm	0	0	0	0	0	0	0	0	0	0	100	0	0				
118	서던우드	18cm	84	0	0	0	0	0	0	84	0	62	79	0	0				
119	서던우드	24cm	5	0	0	0	0	0	0	5	0	0	0	0	0				
120	세인트존스워트	10cm	177	0	0	0	0	0	0	177	0	103	280	0	0				
121	스위트라벤다	10cm	0	417	0	0	0	0	0	417	0	2	2640	0	0		300		
122	스위트라벤다	18cm	42	1903	0	0	0	0	0	1945	47	1954	2055	0	0				
123	스위트라벤다	24cm	51	302	0	0	0	0	0	353	6	720	726	0	0				
124	스위트라벤다	30cm	6	106	0	0	0	0	0	112	2	129	128	0	5				
125	스위트라벤다	특대	0	0	0	0	0	0	0	0	0	0	0	0	0				
126	스위트라벤다외대	18cm	6	0	0	0	0	0	0	6	0	7	0	0	0				
127	스위트라벤다외대	24cm	10	0	0	0	0	0	0	10	0	19	2	0	0				
128	스위트바질	10cm	0	0	0	0	0	0	0	0	0	4263	5406	0	0				
129	스탠다드유칼리	10cm	0	0	0	0	0	0	0	0	0	1	80	0	0				
130	스탠다드유칼리	18cm	1	0	0	0	0	0	0	1	0	27	77	0	0				
131	스탠다드유칼리	24cm	8	0	0	0	0	0	0	8	0	0	10	0	0				
132	스탠다드유칼리	특대	2	0	0	0	0	0	0	2	0	0	2	0	0				
133	스테비아	10cm	15	0	0	0	0	0	0	15	0	112	140	0	0				
134	스테비아	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
135	스테비아	18cm	20	0	0	130	0	0	0	150	0	26	158	0	50				
